route,fare_tier,term,elasticity,elasticity_se,statistic,p_value,elasticity_lo,elasticity_hi,n_obs,avg_fare_level,avg_pax,ulcc_share,elasticity_sig,demand_type
OGG-SJC,Coach_Full,log_avg_fare,-4.264629139261199,1.033518243941415,-4.1263220695530745,0.05401710433896201,-8.711499232801598,0.18224095427919984,6,393.3806531891194,925.8333333333334,0.9645787332839707,FALSE,Elastic (lower fare)
ANC-ORD,Coach_Deep_Discount,log_avg_fare,-3.5870131524589497,0.8022505386524147,-4.471188213203642,0.001195220553978678,-5.374538746657311,-1.7994875582605885,14,590.3844376217763,1557.9285714285713,0,TRUE,Elastic (lower fare)
CLT-SJU,Coach_Deep_Discount,log_avg_fare,-1.685861958648698,0.30971519477975096,-5.443265254866078,6.791726660589214e-5,-2.3460042698149555,-1.0257196474824406,21,557.7472772516442,1139.7619047619048,0.04013991830678299,TRUE,Elastic (lower fare)
DEN-HNL,Coach_Deep_Discount,log_avg_fare,-1.4261318313805469,0.2226074874089877,-6.40648635847712,6.508477655329685e-6,-1.895792576058363,-0.9564710867027308,22,1023.4581566381672,923.0909090909091,0.0025822227552917323,TRUE,Elastic (lower fare)
PDX-SEA,Coach_Deep_Discount,log_avg_fare,-1.3902785721522917,0.5977610027297233,-2.3258100909953536,0.0589779738150604,-2.852947053883952,0.07238990957936853,11,565.7065191727484,1129.2727272727273,0,FALSE,Elastic (lower fare)
ANC-DFW,Coach_Deep_Discount,log_avg_fare,-1.314080926168567,0.49470778785018915,-2.656277015324663,0.04508505772599946,-2.5857677795640863,-0.04239407277304785,9,597.8167096666149,756.6666666666666,0,TRUE,Elastic (lower fare)
HNL-LAX,Coach_Full,log_avg_fare,-1.309763121335666,0.5290801300660722,-2.475547742025581,0.030816407198126464,-2.4742606361104453,-0.14526560656088683,16,505.54820622756387,897.4375,0.8225927868049759,TRUE,Elastic (lower fare)
KOA-SJC,Coach_Deep_Discount,log_avg_fare,-1.2570060332539166,1.4815590069262556,-0.8484346741354486,0.44398523504288945,-5.370473286096023,2.8564612195881898,10,450.1909698584689,874.4,0.1245097771256163,FALSE,Elastic (lower fare)
ATL-SJU,Coach_Deep_Discount,log_avg_fare,-1.1660246349733911,0.2744593069146349,-4.2484426856621775,6.131820445001088e-4,-1.7478523741223184,-0.584196895824464,22,512.6266925516031,2692.5,0.2402388515445873,TRUE,Elastic (lower fare)
JAX-SJU,Coach_Deep_Discount,log_avg_fare,-1.1007508627232592,4.656114398734057,-0.23640975467066283,0.8351209408902001,-21.134394190462125,18.932892465015605,6,213.40218151087436,800,1,FALSE,Elastic (lower fare)
OGG-SMF,Coach_Full,log_avg_fare,-1.0961211665755273,1.0448111202714325,-1.0491093991139422,0.404206489637551,-5.5915805852839995,3.3993382521329454,6,488.95963982838043,635.6666666666666,1,FALSE,Elastic (lower fare)
MCO-PSE,Coach_Full,log_avg_fare,-1.0904475737761923,0.4327559132259805,-2.519775098270632,0.022036604881511046,-2.003482740899849,-0.17741240665253566,22,301.0707843183335,741.5,0.011017392626951637,TRUE,Elastic (lower fare)
MCO-PSE,Coach_Deep_Discount,log_avg_fare,-1.0595151884328047,0.2981433540651967,-3.5537105690476483,0.003177427429455781,-1.698969085323003,-0.4200612915426063,19,183.52719488312073,890,1,TRUE,Elastic (lower fare)
IAH-SJU,Coach_Deep_Discount,log_avg_fare,-1.0127339131896236,0.19526032239775445,-5.186583227731423,9.000668310710238e-5,-1.426667305368274,-0.5988005210109734,22,608.2910766825225,1253.590909090909,0.03466228207229205,TRUE,Elastic (lower fare)
DFW-HNL,Coach_Deep_Discount,log_avg_fare,-0.99101587017745,0.09897690351333173,-10.012597232282223,2.6991529861648193e-8,-1.2008375324358727,-0.7811942079190273,21,894.4686542889108,895.5714285714286,0,TRUE,Inelastic (raise fare)
SJU-TPA,Coach_Deep_Discount,log_avg_fare,-0.9414490870109782,0.571762817538372,-1.6465727713184075,0.1180054346499825,-2.1477631862793034,0.26486501225734727,22,210.9911930123381,1674.409090909091,1,FALSE,Inelastic (raise fare)
ANC-DEN,Coach_Deep_Discount,log_avg_fare,-0.9239710930291909,0.17878914412341732,-5.167937335117942,3.094924081239825e-4,-1.3174833460303177,-0.5304588400280641,16,639.674577408701,952.4375,0,TRUE,Inelastic (raise fare)
LAS-LAX,Coach_Deep_Discount,log_avg_fare,-0.8461099207217326,1.1218382802744629,-0.7542173730376966,0.5294262694758379,-5.672990459682093,3.980770618238627,6,481.5284115868287,758,0.011834504636951699,FALSE,Inelastic (raise fare)
SJU-TPA,Coach_Full,log_avg_fare,-0.8000328323570763,0.5328491485353567,-1.5014246237535105,0.15159146499412196,-1.9242462665721907,0.3241806018580379,22,352.06287397059805,1707.909090909091,0.48188697356533094,FALSE,Inelastic (raise fare)
HNL-IAH,Coach_Deep_Discount,log_avg_fare,-0.7517813409925559,0.13199508979457406,-5.695525054474106,5.529150183969958e-5,-1.0348826524544736,-0.4686800295306382,19,1044.2599660290905,804.2631578947369,0,TRUE,Inelastic (raise fare)
KOA-SAN,Coach_Deep_Discount,log_avg_fare,-0.7299322199023387,1.3572190341389503,-0.537814605853523,0.61923250888389,-4.498176363918703,3.038311924114026,9,430.37410443943355,845.6666666666666,0.007797954606465245,FALSE,Inelastic (raise fare)
MCO-SJU,Coach_Full,log_avg_fare,-0.7243146806624167,1.0345567792515444,-0.7001207620392048,0.49332268037280935,-2.907038689680389,1.4584093283555553,22,368.9083335983756,6843.090909090909,0.45673619547046274,FALSE,Inelastic (raise fare)
HNL-LGB,Coach_Full,log_avg_fare,-0.6575496199666786,0.34660851816941346,-1.8970959612864593,0.10659817641388951,-1.5056701107832127,0.19057087084985536,11,408.54201147583876,741.4545454545455,1,FALSE,Inelastic (raise fare)
ANC-JNU,Coach_Deep_Discount,log_avg_fare,-0.6208716400781128,0.7327031535031564,-0.8473713223556341,0.4148448394113041,-2.233540407690906,0.9917971275346805,16,442.8297897714454,665,0,FALSE,Inelastic (raise fare)
GUM-HNL,Coach_Deep_Discount,log_avg_fare,-0.6079866181904191,0.8870967663143141,-0.6853667393202949,0.5187004832952029,-2.7786342087972935,1.562660972416455,11,1960.085582511128,829.2727272727273,0,FALSE,Inelastic (raise fare)
FLL-SJU,Coach_Full,log_avg_fare,-0.5766058160792177,0.19201043461908285,-3.00299208854513,0.008003474071921337,-0.9817124221451041,-0.17149921001333124,22,351.8218791341358,3192.5,0.30463909921812005,TRUE,Inelastic (raise fare)
FLL-STT,Coach_Deep_Discount,log_avg_fare,-0.545522356376007,0.2814267665175347,-1.9384167438174986,0.0730043891124975,-1.1491227388265672,0.05807802607455337,19,241.30953550670571,673.1052631578947,1,FALSE,Inelastic (raise fare)
ANC-PDX,Coach_Deep_Discount,log_avg_fare,-0.5417068752535495,0.9286376062189076,-0.5833350616277466,0.5714338859538853,-2.585624465644388,1.5022107151372888,16,545.3298745133483,730.1875,0,FALSE,Inelastic (raise fare)
DEN-LAX,Coach_Deep_Discount,log_avg_fare,-0.5066332026654131,0.9793889150237486,-0.5172952183690256,0.6564770302462917,-4.720603591378709,3.7073371860478828,8,719.0826064390378,597.125,0.06384434722853823,FALSE,Inelastic (raise fare)
ANC-SEA,Business,log_avg_fare,-0.5020398416656123,0.446891250086667,-1.1234049482245405,0.3041947646311318,-1.595543337675668,0.5914636543444433,11,1188.526631841756,750.8181818181819,0,FALSE,Inelastic (raise fare)
ANC-MSP,Coach_Deep_Discount,log_avg_fare,-0.45607852609852867,0.4405676308683988,-1.0352066156098587,0.3275858475633061,-1.4527117479645124,0.540554695767455,15,664.84486996289,1489.5333333333333,0.1204822275715965,FALSE,Inelastic (raise fare)
KOA-LIH,Coach_Deep_Discount,log_avg_fare,-0.43348593039251104,0.4765207734068362,-0.909689471234062,0.40470367791694617,-1.6584215748154918,0.7914497140304698,10,202.23333827089064,617.1,0.01443571135910606,FALSE,Inelastic (raise fare)
BQN-MCO,Coach_Deep_Discount,log_avg_fare,-0.3508405566058036,0.8294750917557524,-0.42296695837264786,0.6776214679415231,-2.1008800266168097,1.3991989134052023,22,179.1671006588804,1486.3636363636363,1,FALSE,Inelastic (raise fare)
LAS-SEA,Coach_Deep_Discount,log_avg_fare,-0.3241332229081883,0.529713805302494,-0.6119025399443601,0.5736739876650502,-1.7948545247959948,1.1465880789796181,8,505.6114009438775,659.375,0,FALSE,Inelastic (raise fare)
HNL-OGG,Coach_Deep_Discount,log_avg_fare,-0.31457039331583403,0.25483004974705364,-1.2344320994642475,0.2348655550483162,-0.8547859661754289,0.22564517954376084,22,365.5722653031725,10172.863636363636,0.10454104706161788,FALSE,Inelastic (raise fare)
SEA-SMF,Coach_Deep_Discount,log_avg_fare,-0.31265187692217294,0.5103829843947174,-0.61258287694085,0.5834605916208286,-1.9369183198888136,1.3116145660444678,6,626.4596103112099,717.1666666666666,0,FALSE,Inelastic (raise fare)
HNL-KOA,Coach_Deep_Discount,log_avg_fare,-0.3025711352032048,0.07191740627340233,-4.207203108145275,6.683534360913145e-4,-0.45502922586843825,-0.1501130445379713,22,322.4894579187668,7022.590909090909,0.09643958362923175,TRUE,Inelastic (raise fare)
LIH-SAN,Coach_Deep_Discount,log_avg_fare,-0.24574385484944739,1.7460027374817346,-0.14074654613880191,0.8948734825210602,-5.0934246089925574,4.601936899293663,8,482.73406581975996,795,0.007175226586102718,FALSE,Inelastic (raise fare)
MIA-STT,Coach_Deep_Discount,log_avg_fare,-0.2336252395745316,0.7237642528833268,-0.3227919017053095,0.7542257757806419,-1.8708937284118403,1.4036432492627773,14,541.1542007096738,825.2857142857143,0,FALSE,Inelastic (raise fare)
OGG-SMF,Coach_Deep_Discount,log_avg_fare,-0.22550861997190774,0.3698860913106748,-0.6096704506320528,0.5687199645644245,-1.1763310875496433,0.7253138476058278,11,666.496924963953,1354.1818181818182,0.08574377456422323,FALSE,Inelastic (raise fare)
